DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2009-03-03,0.0,,914.0,9.9,2.5
2009-03-04,0.0,,889.0,7.8,-1.2
2009-03-05,5.1,,965.0,-0.1,-13.0
2009-03-06,2.5,,965.0,-0.9,-10.7
2009-03-07,0.0,,940.0,-2.7,-13.4
2009-03-08,0.0,,914.0,4.5,-15.3
2009-03-09,10.2,,1092.0,0.7,-11.8
2009-03-10,0.0,,1041.0,1.2,-16.3
2009-03-11,0.0,,1016.0,3.9,-18.5
2009-03-12,0.0,,991.0,6.1,-13.8
2009-03-13,0.0,,991.0,6.2,-15.7
2009-03-14,0.0,,965.0,8.1,-13.7
2009-03-15,0.0,,965.0,6.5,-7.4
2009-03-16,0.0,,914.0,10.0,-5.8
2009-03-17,0.0,,889.0,9.9,-2.8
2009-03-18,0.0,,864.0,10.3,-3.8
2009-03-19,0.0,,813.0,10.8,-5.7
2009-03-20,0.0,,787.0,13.3,-2.5
2009-03-21,0.0,,737.0,10.8,-2.5
2009-03-22,7.6,,838.0,7.3,-5.7
2009-03-23,12.7,,940.0,-1.9,-7.0
2009-03-24,0.0,,864.0,-0.2,-6.7
2009-03-25,15.2,,991.0,-0.1,-6.0
2009-03-26,20.3,,1219.0,-3.2,-14.8
2009-03-27,0.0,,1118.0,0.3,-15.9
2009-03-28,0.0,,1041.0,6.2,-7.5
2009-03-29,7.6,,1143.0,7.1,-12.1
2009-03-30,5.1,,1168.0,-5.0,-11.1
2009-03-31,7.6,,1118.0,0.8,-8.0
2009-04-01,10.2,,1194.0,-3.2,-10.3
2009-04-02,17.8,,1270.0,6.8,-7.3
2009-04-03,12.7,,1549.0,1.4,-7.9
2009-04-04,10.2,,1448.0,1.1,-12.8
2009-04-05,0.0,,1346.0,3.4,-16.0
2009-04-06,0.0,,1270.0,7.8,-15.7
2009-04-07,0.0,,1194.0,10.3,-10.8
2009-04-08,5.1,,1245.0,6.1,-5.4
2009-04-09,5.1,,1194.0,4.0,-3.9
2009-04-10,2.5,,1168.0,7.5,-4.5
2009-04-11,17.8,,1346.0,6.7,-1.7
2009-04-12,0.0,,1245.0,5.3,-2.8
2009-04-13,0.0,,1194.0,10.9,-6.3
2009-04-14,2.5,,1219.0,6.3,0.0
2009-04-15,20.3,,1448.0,1.5,-7.2
2009-04-16,0.0,,1346.0,2.6,-12.4
2009-04-17,0.0,,1270.0,4.5,-5.6
2009-04-18,0.0,,1219.0,7.7,-4.7
2009-04-19,0.0,,1168.0,11.6,-6.4
2009-04-20,0.0,,1118.0,12.6,-5.0
2009-04-21,0.0,,1168.0,14.1,-4.4
2009-04-22,0.0,,965.0,15.1,-1.3
2009-04-23,0.0,,914.0,14.7,-1.0
2009-04-24,0.0,,864.0,11.3,-0.1
2009-04-25,12.7,,1016.0,6.7,-3.2
